System,School,is CEP,Enrollment ,Free,% Free,Reduced,% Reduced,Free Reduced,% Free Reduced ,,,
,0055 J F Shields High School,1,212,136,64.15%,*,*,136,64.15%,,,
,0060 J U Blacksher School,0,694,211,30.40%,*,*,211,30.40%,,,
,0070 Monroe County High School,1,333,162,48.65%,*,*,162,48.65%,,,
,0090 Monroe Intermediate School,1,72,52,72.22%,*,*,52,72.22%,,,
,0100 Monroeville Elementary School,1,392,248,63.27%,*,*,248,63.27%,,,
,0110 Monroeville Middle School,1,359,214,59.61%,*,*,214,59.61%,,,
051 Montgomery County,,,"26,784","16,151",60.301%,*,*,"16,151",60.301%,,,
,0020 Baldwin Art And Academics Magnet,1,521,106,20.35%,*,*,106,20.35%,,,
,0030 Bear Exploration Center,1,511,104,20.35%,*,*,104,20.35%,,,
,0050 Bellingrath Middle School,1,557,450,80.79%,*,*,450,80.79%,,,
,0055 Blount Elementary School,1,306,79,25.82%,*,*,79,25.82%,,,
,0060 Booker T Washington Magnet High School,1,389,88,22.62%,*,*,88,22.62%,,,
,0085 Brewbaker Intermediate School,1,567,422,74.43%,*,*,422,74.43%,,,
,0090 Brewbaker Middle School,1,963,666,69.16%,*,*,666,69.16%,,,
,0095 Brewbaker Primary School,1,655,457,69.77%,*,*,457,69.77%,,,
,0097 Brewbaker Technology Magnet High School,1,522,124,23.75%,*,*,124,23.75%,,,
,0100 Capitol Heights Middle School,1,702,559,79.63%,*,*,559,79.63%,,,
,0105 Carr Middle School,1,803,343,42.71%,*,*,343,42.71%,,,
,0110 Carver Elementary School,1,368,218,59.24%,*,*,218,59.24%,,,
,0130 Carver Senior High School,1,942,653,69.32%,*,*,653,69.32%,,,
,0140 Catoma Elementary School,1,205,117,57.07%,*,*,117,57.07%,,,
,0150 Childrens Center,1,87,20,22.99%,*,*,20,22.99%,,,
,0170 Chisholm Elementary School,1,516,391,75.78%,*,*,391,75.78%,,,
,0200 Dalraida Elementary School,1,625,361,57.76%,*,*,361,57.76%,,,
,0210 Dannelly Elementary School,1,629,454,72.18%,*,*,454,72.18%,,,
,0220 Davis Elementary School,1,469,377,80.38%,*,*,377,80.38%,,,
,0225 Dozier Elementary School,1,361,226,62.60%,*,*,226,62.60%,,,
,0230 Dunbar-Ramer School,1,76,49,64.47%,*,*,49,64.47%,,,
,0240 McIntyre Comprehensive Academy,1,135,109,80.74%,*,*,109,80.74%,,,
,0250 Flowers Elementary School,1,379,255,67.28%,*,*,255,67.28%,,,
,0260 Floyd Middle School,1,467,141,30.19%,*,*,141,30.19%,,,
,0270 Forest Avenue Elementary School,1,642,90,14.02%,*,*,90,14.02%,,,
,0275 Garrett Elementary School,1,557,311,55.83%,*,*,311,55.83%,,,
,0300 Goodwyn Middle School,1,984,678,68.90%,*,*,678,68.90%,,,
,0305 Halcyon Elementary School,1,532,237,44.55%,*,*,237,44.55%,,,
,0340 Highland Avenue Elementary School,1,394,295,74.87%,*,*,295,74.87%,,,
,0350 Highland Gardens Elementary School,1,448,348,77.68%,*,*,348,77.68%,,,
,0370 Jefferson Davis High School,1,"1,705","1,142",66.98%,*,*,"1,142",66.98%,,,
,0380 Johnson Elementary School,1,327,266,81.35%,*,*,266,81.35%,,,
,0385 King Elementary,1,258,192,74.42%,*,*,192,74.42%,,,
,0387 Loveless Academic Magnet Program High School,1,471,32,6.79%,*,*,32,6.79%,,,
,0390 Lanier Senior High School,1,900,685,76.11%,*,*,685,76.11%,,,
,0400 Lee High School,1,"1,396",928,66.48%,*,*,928,66.48%,,,
,0420 MacMillan International at McKee,1,380,128,33.68%,*,*,128,33.68%,,,
,0440 Fitzpatrick Elementary School,1,366,273,74.59%,*,*,273,74.59%,,,
,0456 McKee PreK Center,1,*,*,*,*,*,*,*,,,
,0458 McKee Middle School,1,754,583,77.32%,*,*,583,77.32%,,,
,0463 Morris Elementary School,1,517,418,80.85%,*,*,418,80.85%,,,
,0470 Morningview Elementary School,1,449,287,63.92%,*,*,287,63.92%,,,
,0475 Nixon Elementary School,1,412,339,82.28%,*,*,339,82.28%,,,
,0478 Park Crossing High School,1,918,342,37.25%,*,*,342,37.25%,,,
,0500 Crump Elementary School,1,502,390,77.69%,*,*,390,77.69%,,,
,0520 Pintlala Elementary School,1,110,62,56.36%,*,*,62,56.36%,,,
,0530 Southlawn Elementary School,1,293,232,79.18%,*,*,232,79.18%,,,
,0535 Southlawn Middle School,1,569,451,79.26%,*,*,451,79.26%,,,
,0540 Vaughn Road Elementary School,1,443,287,64.79%,*,*,287,64.79%,,,
,0550 Wares Ferry Elementary School,1,332,247,74.40%,*,*,247,74.40%,,,
,0560 Wilson Elementary School,1,370,139,37.57%,*,*,139,37.57%,,,
052 Morgan County,,,"7,315","2,333",31.893%,240,3.281%,"2,573",35.174%,,,
,0005 Albert P Brewer High School,0,684,194,28.36%,18,2.63%,212,30.99%,,,
,0010 Cotaco School,0,484,196,40.50%,23,4.75%,219,45.25%,,,
,0020 Danville-Neel Elementary School,0,477,168,35.22%,22,4.61%,190,39.83%,,,
,0025 Danville Middle School,0,371,94,25.34%,*,*,102,27.49%,,,
,0030 Danville High School,0,361,76,21.05%,*,*,80,22.16%,,,
,0040 Eva School,0,332,130,39.16%,18,5.42%,148,44.58%,,,
,0055 Falkville Elementary School,0,294,99,33.67%,13,4.42%,112,38.10%,,,
,0060 Falkville High School,0,410,117,28.54%,*,*,125,30.49%,,,
,0090 Laceys Spring Elementary School,0,288,136,47.22%,*,*,140,48.61%,,,
,0140 Sparkman Elementary School,0,128,76,59.38%,*,*,85,66.41%,,,
,0145 Priceville Elementary School,0,625,125,20.00%,27,4.32%,152,24.32%,,,
,0147 Priceville Junior High School,0,506,95,18.77%,20,3.95%,115,22.73%,,,
,0150 Priceville High School,0,477,61,12.79%,*,*,70,14.68%,,,
,0170 Union Hill School,0,456,181,39.69%,15,3.29%,196,42.98%,,,
,0175 West Morgan Elementary School,0,569,254,44.64%,22,3.87%,276,48.51%,,,
,0177 West Morgan Middle School,0,408,186,45.59%,*,*,194,47.55%,,,
,0180 West Morgan High School,0,445,145,32.58%,12,2.70%,157,35.28%,,,
053 Perry County,,,"1,046",778,74.379%,*,*,778,74.379%,,,
,0025 Francis Marion School,1,572,410,71.68%,*,*,410,71.68%,,,
,0040 Robert C Hatch High School,1,474,368,77.64%,*,*,368,77.64%,,,
054 Pickens County,,,"2,295","1,413",61.569%,146,6.362%,"1,559",67.93%,,,
,0010 Aliceville Elementary School,0,404,329,81.44%,21,5.20%,350,86.63%,,,
,0020 Aliceville High School,0,333,262,78.68%,23,6.91%,285,85.59%,,,
,0060 Gordo Elementary School,0,544,254,46.69%,44,8.09%,298,54.78%,,,
,0070 Gordo High School,0,539,225,41.74%,39,7.24%,264,48.98%,,,
,0080 Pickens County High School,0,284,194,68.31%,*,*,204,71.83%,,,
,0090 Reform Elementary School,0,191,149,78.01%,*,*,158,82.72%,,,
055 Pike County,,,"2,087","1,122",53.761%,*,*,"1,122",53.761%,,,
,0010 Banks School,1,345,147,42.61%,*,*,147,42.61%,,,
,0025 Goshen Elementary School,1,426,233,54.69%,*,*,233,54.69%,,,
,0030 Goshen High School,1,394,155,39.34%,*,*,155,39.34%,,,
,0039 Pike County Elementary School,1,447,324,72.48%,*,*,324,72.48%,,,
,0040 Pike County High School,1,475,263,55.37%,*,*,263,55.37%,,,
056 Randolph County,,,"1,978","1,028",51.972%,108,5.46%,"1,136",57.432%,,,
,0010 Wedowee Elementary School,0,255,169,66.27%,11,4.31%,180,70.59%,,,
,0020 Randolph County High School,0,421,221,52.49%,27,6.41%,248,58.91%,,,
,0030 Rock Mills Junior High School,0,139,87,62.59%,11,7.91%,98,70.50%,,,
,0040 Wadley High School,0,381,200,52.49%,26,6.82%,226,59.32%,,,
,0050 Wedowee Middle School,0,195,114,58.46%,*,*,123,63.08%,,,
,0060 Woodland High School,0,295,104,35.25%,12,4.07%,116,39.32%,,,
,0070 Woodland Elementary School,0,292,133,45.55%,12,4.11%,145,49.66%,,,
057 Russell County,,,"3,604","1,415",39.262%,182,5.05%,"1,597",44.312%,,,
,0020 Dixie Elementary School,1,228,106,46.49%,*,*,106,46.49%,,,
,0030 Ladonia Elementary School,1,438,212,48.40%,*,*,212,48.40%,,,
,0035 Mt Olive Primary School,0,335,128,38.21%,30,8.96%,158,47.16%,,,
,0040 Mount Olive Intermediate School,0,310,114,36.77%,41,13.23%,155,50.00%,,,
,0050 Oliver Elementary School,1,461,169,36.66%,*,*,169,36.66%,,,
,0065 Russell County High School,0,983,347,35.30%,56,5.70%,403,41.00%,,,
,0075 Russell County Middle School,0,849,339,39.93%,55,6.48%,394,46.41%,,,
058 St Clair County,,,"9,464","3,955",41.79%,584,6.171%,"4,539",47.961%,,,
,0005 Ashville Elementary School,0,447,266,59.51%,35,7.83%,301,67.34%,,,
,0010 Ashville High School,0,371,192,51.75%,32,8.63%,224,60.38%,,,
,0013 Ashville Middle School,0,385,250,64.94%,28,7.27%,278,72.21%,,,
,0030 Margaret Elementary,0,638,281,44.04%,61,9.56%,342,53.61%,,,
,0065 Moody Elementary School,0,744,359,48.25%,47,6.32%,406,54.57%,,,
,0070 Moody Middle School,0,525,216,41.14%,41,7.81%,257,48.95%,,,
,0075 Moody High School,0,671,222,33.08%,40,5.96%,262,39.05%,,,
,0080 Moody Junior High School,0,383,155,40.47%,14,3.66%,169,44.13%,,,
,0120 Ragland High School,0,425,292,68.71%,33,7.76%,325,76.47%,,,
,0130 Springville High School,0,773,148,19.15%,19,2.46%,167,21.60%,,,
,0133 Springville Middle School,0,605,145,23.97%,23,3.80%,168,27.77%,,,
,0135 Springville Elementary School,0,882,217,24.60%,35,3.97%,252,28.57%,,,
,0137 Odenville Elementary School,0,407,217,53.32%,31,7.62%,248,60.93%,,,
,0138 Odenville Middle School,0,552,260,47.10%,36,6.52%,296,53.62%,,,
,0139 Odenville Intermediate School,0,351,174,49.57%,23,6.55%,197,56.13%,,,
,0140 Saint Clair County High School,0,625,229,36.64%,47,7.52%,276,44.16%,,,
,0150 Steele Junior High School,0,134,74,55.22%,18,13.43%,92,68.66%,,,
,0160 SCC Virtual Preparatory Academy,0,546,258,47.25%,21,3.85%,279,51.10%,,,
059 Shelby County,,,"20,899","5,041",24.121%,959,4.589%,"6,000",28.71%,,,
,0010 Calera High,0,"1,013",360,35.54%,84,8.29%,444,43.83%,,,
,0015 Calera Intermediate School,0,754,296,39.26%,76,10.08%,372,49.34%,,,
,0018 Calera Elementary,0,746,314,42.09%,87,11.66%,401,53.75%,,,
,0019 Calera Middle,0,819,306,37.36%,75,9.16%,381,46.52%,,,
,0020 Chelsea High School,0,"1,433",151,10.54%,25,1.74%,176,12.28%,,,
,0023 Chelsea Middle School,0,"1,061",122,11.50%,29,2.73%,151,14.23%,,,
,0026 Forest Oaks Elementary School ,0,676,78,11.54%,23,3.40%,101,14.94%,,,
,0035 Linda Nolen Learning Center,0,54,25,46.30%,*,*,28,51.85%,,,
,0040 Columbiana Middle School,0,453,210,46.36%,25,5.52%,235,51.88%,,,
,0045 Elvin Hill Elementary School,0,497,233,46.88%,28,5.63%,261,52.52%,,,
,0050 Helena Elementary School,0,891,116,13.02%,39,4.38%,155,17.40%,,,
,0051 Helena High School,0,"1,397",167,11.95%,57,4.08%,224,16.03%,,,
,0052 Helena Middle,0,"1,073",165,15.38%,41,3.82%,206,19.20%,,,
,0053 Helena Intermediate School,0,941,136,14.45%,43,4.57%,179,19.02%,,,
,0055 Inverness Elementary School,0,545,91,16.70%,20,3.67%,111,20.37%,,,
,0060 Montevallo High School,0,454,212,46.70%,20,4.41%,232,51.10%,,,
,0070 Montevallo Elementary School,0,691,373,53.98%,41,5.93%,414,59.91%,,,
,0075 Mt Laurel Elementary School,0,497,44,8.85%,*,*,51,10.26%,,,
,0080 Montevallo Middle School,0,367,199,54.22%,11,3.00%,210,57.22%,,,
,0081 Oak Mountain High School,0,"1,540",168,10.91%,39,2.53%,207,13.44%,,,
,0082 Oak Mountain Intermediate School,0,636,105,16.51%,18,2.83%,123,19.34%,,,
,0083 Oak Mountain Elementary School,0,660,95,14.39%,11,1.67%,106,16.06%,,,
,0084 Oak Mountain Middle School,0,"1,057",149,14.10%,35,3.31%,184,17.41%,,,
,0090 Shelby County High School,0,551,199,36.12%,27,4.90%,226,41.02%,,,
,0110 Shelby Elementary School,0,187,87,46.52%,*,*,93,49.73%,,,
,0160 Vincent Middle High School,0,453,225,49.67%,19,4.19%,244,53.86%,,,
,0170 Vincent Elementary School,0,385,206,53.51%,24,6.23%,230,59.74%,,,
,0180 Wilsonville Elementary School,0,196,85,43.37%,12,6.12%,97,49.49%,,,
,0200 Chelsea Park Elementary School,0,872,124,14.22%,34,3.90%,158,18.12%,,,
060 Sumter County,,,"1,074",718,66.853%,*,*,718,66.853%,,,
,0020 Kinterbish Junior High School,1,118,93,78.81%,*,*,93,78.81%,,,
,0060 Livingston Junior High School,1,392,270,68.88%,*,*,270,68.88%,,,
,0070 York West End Junior High School,1,194,137,70.62%,*,*,137,70.62%,,,
,0080 Sumter Central High School,1,370,218,58.92%,*,*,218,58.92%,,,
061 Talladega County,,,"6,831","4,046",59.23%,601,8.798%,"4,647",68.028%,,,
,0010 AH Watwood Elementary School,0,223,171,76.68%,13,5.83%,184,82.51%,,,
,0020 BB Comer Memorial High School,0,414,256,61.84%,41,9.90%,297,71.74%,,,
,0021 BB Comer Memorial Elementary School,0,438,318,72.60%,31,7.08%,349,79.68%,,,
,0030 Charles R Drew Middle School,0,493,284,57.61%,42,8.52%,326,66.13%,,,
,0040 Childersburg Elementary School,0,231,159,68.83%,27,11.69%,186,80.52%,,,
,0050 Childersburg High School,0,344,219,63.66%,36,10.47%,255,74.13%,,,
,0051 Childersburg Middle School,0,375,265,70.67%,38,10.13%,303,80.80%,,,
,0060 Talladega County Central High,0,131,106,80.92%,*,*,112,85.50%,,,
,0080 Fayetteville High School,0,630,217,34.44%,54,8.57%,271,43.02%,,,
,0115 Munford Elementary School,0,637,381,59.81%,54,8.48%,435,68.29%,,,
,0120 Munford High School,0,430,218,50.70%,50,11.63%,268,62.33%,,,
,0135 Munford Middle School,0,302,160,52.98%,39,12.91%,199,65.89%,,,
,0160 Sycamore School,0,205,139,67.80%,16,7.80%,155,75.61%,,,
,0165 Lincoln Elementary School,0,758,426,56.20%,52,6.86%,478,63.06%,,,
,0170 Lincoln High School,0,559,261,46.69%,42,7.51%,303,54.20%,,,
,0173 Stemley Road Elementary School,0,311,249,80.06%,20,6.43%,269,86.50%,,,
,0180 Winterboro High School,0,350,217,62.00%,40,11.43%,257,73.43%,,,
062 Tallapoosa County,,,"2,728","1,332",48.827%,158,5.792%,"1,490",54.619%,,,
,0015 Dadeville Elementary School,0,602,390,64.78%,45,7.48%,435,72.26%,,,
,0020 Dadeville High School,0,490,251,51.22%,27,5.51%,278,56.73%,,,
,0065 Horseshoe Bend High School,0,739,263,35.59%,49,6.63%,312,42.22%,,,
,0080 Reeltown High School,0,423,190,44.92%,17,4.02%,207,48.94%,,,
,0085 Reeltown Elementary School,0,474,238,50.21%,20,4.22%,258,54.43%,,,
063 Tuscaloosa County,,,"18,378","7,005",38.116%,709,3.858%,"7,714",41.974%,,,
,0005 Taylorville Primary School,0,497,270,54.33%,30,6.04%,300,60.36%,,,
,0010 Holt Elementary School,1,421,275,65.32%,*,*,275,65.32%,,,
,0020 Brookwood Elementary School,0,559,228,40.79%,40,7.16%,268,47.94%,,,
,0025 Brookwood Middle School,0,823,261,31.71%,24,2.92%,285,34.63%,,,
,0030 Brookwood High School,0,997,247,24.77%,30,3.01%,277,27.78%,,,
,0040 Buhl Elementary School,0,194,72,37.11%,13,6.70%,85,43.81%,,,
,0045 Big Sandy Elementary,0,411,143,34.79%,31,7.54%,174,42.34%,,,
,0050 Cottondale Elementary School,0,414,258,62.32%,20,4.83%,278,67.15%,,,
,0060 Crestmont Elementary School,1,263,128,48.67%,*,*,128,48.67%,,,
,0070 Maxwell Elementary School,0,506,248,49.01%,31,6.13%,279,55.14%,,,
,0075 Echols Middle School,0,808,324,40.10%,12,1.49%,336,41.58%,,,
,0080 Englewood Elementary School,0,502,235,46.81%,21,4.18%,256,51.00%,,,
,0085 Flatwoods Elementary School,0,352,248,70.45%,11,3.13%,259,73.58%,,,
,0100 Hillcrest High School,0,"1,314",460,35.01%,60,4.57%,520,39.57%,,,
,0105 Hillcrest Middle School,0,584,247,42.29%,27,4.62%,274,46.92%,,,
,0115 Davis-Emerson Middle School,0,399,264,66.17%,13,3.26%,277,69.42%,,,
,0120 Holt High School,0,422,249,59.00%,18,4.27%,267,63.27%,,,
,0125 Huntington Place Elementary School,0,329,50,15.20%,12,3.65%,62,18.84%,,,
,0127 Lake View Elementary School,0,695,152,21.87%,20,2.88%,172,24.75%,,,
,0130 Matthews Elementary School,1,357,270,75.63%,*,*,270,75.63%,,,
,0140 Myrtlewood Elementary School,0,224,93,41.52%,21,9.38%,114,50.89%,,,
,0155 Northport Elementary School,0,562,110,19.57%,21,3.74%,131,23.31%,,,
,0157 Northport Intermediate School,0,501,155,30.94%,*,*,162,32.34%,,,
,0160 Northside High School,0,486,113,23.25%,26,5.35%,139,28.60%,,,
,0162 Northside Middle School,0,409,89,21.76%,23,5.62%,112,27.38%,,,
,0163 Duncanville Middle School,0,479,157,32.78%,19,3.97%,176,36.74%,,,
,0165 Lloyd Wood Education Center,1,45,20,44.44%,*,*,20,44.44%,,,
,0166 Sipsey Valley High School,0,473,118,24.95%,13,2.75%,131,27.70%,,,
,0167 Sipsey Valley Middle School,0,552,165,29.89%,28,5.07%,193,34.96%,,,
,0170 Collins-Riverside Middle School,0,346,225,65.03%,*,*,232,67.05%,,,
,0180 Tuscaloosa County High School,0,"1,645",565,34.35%,20,1.22%,585,35.56%,,,
,0190 Vance Elementary School,0,480,167,34.79%,31,6.46%,198,41.25%,,,
,0200 Faucett-Vestavia Elementary School,0,346,127,36.71%,*,*,137,39.60%,,,
,0205 Walker Elementary School,0,708,178,25.14%,59,8.33%,237,33.47%,,,
,0210 Westwood Elementary School,0,275,94,34.18%,11,4.00%,105,38.18%,,,
064 Walker County,,,"6,814","3,149",46.214%,516,7.573%,"3,665",53.786%,,,
,0010 Carbon Hill Elementary-Junior High School,0,480,258,53.75%,45,9.38%,303,63.13%,,,
,0020 Carbon Hill High School,0,354,153,43.22%,33,9.32%,186,52.54%,,,
,0030 Bankhead Middle School,0,285,120,42.11%,23,8.07%,143,50.18%,,,
,0040 Cordova Elementary School,0,327,144,44.04%,28,8.56%,172,52.60%,,,
,0050 Cordova High School,0,506,239,47.23%,29,5.73%,268,52.96%,,,
,0060 Curry Elementary School,0,471,201,42.68%,42,8.92%,243,51.59%,,,
,0065 Curry Middle School,0,341,136,39.88%,27,7.92%,163,47.80%,,,
,0070 Curry High School,0,427,123,28.81%,17,3.98%,140,32.79%,,,
,0080 Dora High School,0,445,177,39.78%,18,4.04%,195,43.82%,,,
,0130 Lupton Junior High School,0,377,180,47.75%,44,11.67%,224,59.42%,,,
,0160 Oakman Middle School,0,615,261,42.44%,69,11.22%,330,53.66%,,,
,0170 Oakman High School,0,330,135,40.91%,17,5.15%,152,46.06%,,,
,0180 Parrish Elementary/Middle School,0,271,170,62.73%,20,7.38%,190,70.11%,,,
,0220 Sumiton Middle School,0,485,249,51.34%,21,4.33%,270,55.67%,,,
,0225 Sumiton Elementary School,0,584,331,56.68%,42,7.19%,373,63.87%,,,
,0270 Valley Junior High School,0,516,272,52.71%,41,7.95%,313,60.66%,,,
065 Washington County,,,"2,496",989,39.623%,*,*,996,39.904%,,,
,0010 Chatom Elementary School,0,278,91,32.73%,*,*,91,32.73%,,,
,0020 McIntosh Elementary School,1,214,144,67.29%,*,*,144,67.29%,,,
,0030 Fruitdale High School,0,378,180,47.62%,*,*,180,47.62%,,,
,0040 Leroy High School,0,477,195,40.88%,*,*,201,42.14%,,,
,0050 McIntosh High School,1,175,99,56.57%,*,*,99,56.57%,,,
,0060 Millry High School,0,520,139,26.73%,*,*,139,26.73%,,,
,0090 Washington County High School,0,454,141,31.06%,*,*,142,31.28%,,,
066 Wilcox County,,,"1,233",961,77.94%,*,*,961,77.94%,,,
,0010 ABC Elementary,1,95,85,89.47%,*,*,85,89.47%,,,
,0045 J E Hobbs Elementary School,1,368,290,78.80%,*,*,290,78.80%,,,
,0085 F S Ervin Elementary School,1,162,138,85.19%,*,*,138,85.19%,,,
,0135 Wilcox Central High School,1,431,304,70.53%,*,*,304,70.53%,,,
,0140 Camden School Of Arts & Technology,1,177,144,81.36%,*,*,144,81.36%,,,
067 Winston County,,,"2,218",597,26.916%,*,*,597,26.916%,,,
,0010 Addison High School,0,284,51,17.96%,*,*,51,17.96%,,,
,0015 Addison Elementary School,0,269,44,16.36%,*,*,44,16.36%,,,
,0020 Double Springs Elementary School,0,342,140,40.94%,*,*,140,40.94%,,,
,0025 Double Springs Middle School,0,256,67,26.17%,*,*,67,26.17%,,,
,0030 Lynn High School,0,245,63,25.71%,*,*,63,25.71%,,,
,0035 Lynn Elementary School,0,132,50,37.88%,*,*,50,37.88%,,,
,0040 Meek High School,0,289,90,31.14%,*,*,90,31.14%,,,
,0045 Meek Elementary School,0,151,36,23.84%,*,*,36,23.84%,,,
,0060 Winston County High School,0,250,56,22.40%,*,*,56,22.40%,,,
101 Albertville City,,,"5,816","2,259",38.841%,142,2.442%,"2,401",41.283%,,,
,0005 Albertville Primary School,0,977,444,45.45%,23,2.35%,467,47.80%,,,
,0010 Albertville Middle School,0,920,380,41.30%,20,2.17%,400,43.48%,,,
,0020 Albertville High School,0,"1,665",532,31.95%,46,2.76%,578,34.71%,,,
,0035 Albertville Kindergarten and Pre-K,0,439,136,30.98%,*,*,143,32.57%,,,
,0110 Albertville Intermediate School,0,924,379,41.02%,22,2.38%,401,43.40%,,,
,0200 Albertville Elementary School,0,891,388,43.55%,24,2.69%,412,46.24%,,,
102 Alexander City,,,"2,853","1,299",45.531%,49,1.717%,"1,348",47.249%,,,
,0010 Alexander City Middle School,0,459,196,42.70%,*,*,198,43.14%,,,
,0020 Benjamin Russell High School,0,787,279,35.45%,23,2.92%,302,38.37%,,,
,0030 Jim Pearson Elementary School,0,714,362,50.70%,14,1.96%,376,52.66%,,,
,0040 Nathaniel H Stephens Elementary School,0,437,234,53.55%,*,*,236,54.00%,,,
,0050 William L Radney Elementary School,0,456,228,50.00%,*,*,236,51.75%,,,
103 Alabaster City,,,"6,241","1,424",22.817%,263,4.214%,"1,687",27.031%,,,
,0005 Meadow View  Elementary School,0,877,194,22.12%,40,4.56%,234,26.68%,,,
,0010 Creek View Elementary School,0,861,192,22.30%,30,3.48%,222,25.78%,,,
,0020 Thompson Intermediate School,0,892,225,25.22%,38,4.26%,263,29.48%,,,
,0040 Thompson Middle School,0,"1,436",356,24.79%,70,4.87%,426,29.67%,,,
,0050 Thompson High School,0,"2,175",457,21.01%,85,3.91%,542,24.92%,,,
104 Andalusia City,,,"1,777",746,41.981%,102,5.74%,848,47.721%,,,
,0010 Andalusia High School,0,515,192,37.28%,17,3.30%,209,40.58%,,,
,0020 Andalusia Junior High,0,267,112,41.95%,11,4.12%,123,46.07%,,,
,0025 Andalusia Elementary School,0,995,442,44.42%,74,7.44%,516,51.86%,,,
105 Anniston City,,,"1,799","1,208",67.148%,*,*,"1,208",67.148%,,,
,0010 Anniston High School,1,450,261,58.00%,*,*,261,58.00%,,,
,0015 Anniston Middle School,1,426,285,66.90%,*,*,285,66.90%,,,
,0025 Cobb Preparatory Academy ,1,202,141,69.80%,*,*,141,69.80%,,,
,0060 Golden Springs Elementary School,1,388,269,69.33%,*,*,269,69.33%,,,
,0110 Randolph Park Elementary School,1,333,252,75.68%,*,*,252,75.68%,,,
106 Arab City,,,"2,536",458,18.06%,*,*,458,18.06%,,,
,0010 Arab Elementary School,0,547,102,18.65%,*,*,102,18.65%,,,
,0020 Arab High School,0,763,100,13.11%,*,*,100,13.11%,,,
,0030 Arab Junior High School,0,617,118,19.12%,*,*,118,19.12%,,,
,0040 Arab Primary School,0,609,138,22.66%,*,*,138,22.66%,,,
107 Athens City,,,"4,657","1,499",32.188%,274,5.884%,"1,773",38.072%,,,
,0010 Athens Elementary School,0,324,188,58.02%,30,9.26%,218,67.28%,,,
,0015 Athens Intermediate School,0,592,220,37.16%,33,5.57%,253,42.74%,,,
,0020 Athens Middle School,0,989,379,38.32%,64,6.47%,443,44.79%,,,
,0025 Athens Renaissance School,0,670,68,10.15%,35,5.22%,103,15.37%,,,
,0030 Athens High School,0,"1,121",317,28.28%,52,4.64%,369,32.92%,,,
,0035 Brookhill Elementary School,0,347,98,28.24%,14,4.03%,112,32.28%,,,
,0040 Julian Newman Elementary School,0,314,85,27.07%,22,7.01%,107,34.08%,,,
,0050 James L Cowart Elementary School,0,300,144,48.00%,24,8.00%,168,56.00%,,,
109 Attalla City,,,"1,467",845,57.601%,127,8.657%,972,66.258%,,,
,0025 Etowah High School,0,493,238,48.28%,44,8.92%,282,57.20%,,,
,0026 Etowah Middle School,0,379,234,61.74%,35,9.23%,269,70.98%,,,
,0040 Attalla Elementary School,0,595,373,62.69%,48,8.07%,421,70.76%,,,
110 Auburn City,,,"9,308","2,132",22.905%,205,2.202%,"2,337",25.107%,,,
,0005 Auburn Early Education Center,0,445,113,25.39%,*,*,119,26.74%,,,
,0010 Auburn High School,0,"2,091",311,14.87%,34,1.63%,345,16.50%,,,
,0020 Auburn Junior High School,0,"1,470",336,22.86%,25,1.70%,361,24.56%,,,
,0040 Cary Woods Elementary School,0,499,168,33.67%,21,4.21%,189,37.88%,,,
,0045 Pick Elementary School,0,473,137,28.96%,23,4.86%,160,33.83%,,,
,0050 Dean Road Elementary School,0,409,109,26.65%,11,2.69%,120,29.34%,,,
,0055 East Samford School,0,721,186,25.80%,19,2.64%,205,28.43%,,,
,0060 Drake Middle School,0,707,164,23.20%,14,1.98%,178,25.18%,,,
,0065 Ogletree Elementary School,0,487,118,24.23%,*,*,125,25.67%,,,
,0070 Wrights Mill Road Elementary School,0,392,86,21.94%,16,4.08%,102,26.02%,,,
,0075 Richland Elementary School,0,567,164,28.92%,13,2.29%,177,31.22%,,,
,0080 Margaret Yarbrough Elementary School,0,506,119,23.52%,*,*,126,24.90%,,,
,0085 Creekside Elementary School,0,541,121,22.37%,*,*,130,24.03%,,,
113 Bessemer City,,,"3,323","2,154",64.821%,*,*,"2,154",64.821%,,,
,0015 Abrams Elementary School,1,214,171,79.91%,*,*,171,79.91%,,,
,0040 Bessemer City Middle School,1,790,518,65.57%,*,*,518,65.57%,,,
,0060 Greenwood Elementary School,1,287,134,46.69%,*,*,134,46.69%,,,
,0065 Charles F Hard Elementary School,1,339,287,84.66%,*,*,287,84.66%,,,
,0080 Bessemer City High School,1,851,508,59.69%,*,*,508,59.69%,,,
,0090 Jonesboro Elementary School,1,544,353,64.89%,*,*,353,64.89%,,,
,0120 Westhills Elementary School,1,298,183,61.41%,*,*,183,61.41%,,,
114 Birmingham City,,,"20,345","12,716",62.502%,*,*,"12,716",62.502%,,,
,0010 Avondale Elementary School,1,289,144,49.83%,*,*,144,49.83%,,,
,0040 Barrett Elementary School,1,362,267,73.76%,*,*,267,73.76%,,,
,0045 Bush Hills STEAM Academy,1,461,335,72.67%,*,*,335,72.67%,,,
,0050 Charles A Brown Elementary School,1,262,198,75.57%,*,*,198,75.57%,,,
,0095 George Washington Carver High School,1,581,335,57.66%,*,*,335,57.66%,,,
,0110 Central Park Elementary School,1,424,299,70.52%,*,*,299,70.52%,,,
,0130 Christian School,1,622,265,42.60%,*,*,265,42.60%,,,
,0212 EPIC Alternative Elementary School,1,279,90,32.26%,*,*,90,32.26%,,,
